Date,IVV,BND,MO,JNJ,AWK,CB
2026-02-24,,,,1.3,,
2026-02-10,,,,,0.828,
2026-02-02,,0.245,,,,
2025-12-26,,,1.06,,,
2025-12-18,,0.247,,,,
2025-12-16,2.414,,,,,
2025-12-01,,0.239,,,,
2025-11-25,,,,1.3,,
2025-11-13,,,,,0.828,
2025-11-03,,0.244,,,,
2025-10-01,,0.237,,,,
2025-09-16,1.995,,,,,
2025-09-15,,,1.06,,,
2025-09-02,,0.243,,,,
2025-08-26,,,,1.3,,
2025-08-12,,,,,0.828,
2025-08-01,,0.242,,,,
2025-07-01,,0.235,,,,
2025-06-16,1.867,,1.02,,,
2025-06-13,,,,,,0.97
2025-06-02,,0.24,,,,
2025-05-27,,,,1.3,,
2025-05-13,,,,,0.828,
2025-05-01,,0.236,,,,
2025-04-01,,0.24,,,,
2025-03-25,,,1.02,,,
2025-03-18,1.765,,,,,
2025-03-14,,,,,,0.91
2025-03-03,,0.219,,,,
2025-02-18,,,,1.24,,
2025-02-07,,,,,0.765,
2025-02-03,,0.235,,,,
2024-12-26,,,1.02,,,
2024-12-24,,0.233,,,,
2024-12-17,2.134,,,,,
2024-12-13,,,,,,0.91
2024-12-02,,0.223,,,,
2024-11-26,,,,1.24,,
2024-11-12,,,,,0.765,
2024-11-01,,0.228,,,,
2024-10-01,,0.221,,,,
2024-09-25,2.235,,,,,
2024-09-16,,,1.02,,,
2024-09-13,,,,,,0.91
2024-09-03,,0.226,,,,
2024-08-27,,,,1.24,,
2024-08-13,,,,,0.765,
2024-08-01,,0.224,,,,
2024-07-01,,0.221,,,,
2024-06-14,,,0.98,,,0.91
2024-06-11,1.611,,,,,
2024-06-03,,0.219,,,,
2024-05-20,,,,1.24,,
2024-05-13,,,,,0.765,
2024-05-01,,0.214,,,,
2024-04-01,,0.216,,,,
2024-03-22,,,0.98,,,
2024-03-21,1.665,,,,,
2024-03-14,,,,,,0.86
2024-03-01,,0.202,,,,
2024-02-16,,,,1.19,,
2024-02-07,,,,,0.708,
2024-02-01,,0.212,,,,
2023-12-22,,0.211,,,,
2023-12-20,1.925,,0.98,,,
2023-12-14,,,,,,0.86
2023-12-01,,0.201,,,,
2023-11-20,,,,1.19,,
2023-11-13,,,,,0.708,
2023-11-01,,0.203,,,,
2023-10-02,,0.192,,,,
2023-09-26,1.987,,,,,
2023-09-14,,,0.98,,,0.86
2023-09-01,,0.196,,,,
2023-08-25,,,,1.19,,
2023-08-07,,,,,0.708,
2023-08-01,,0.193,,,,
2023-07-03,,0.184,,,,
2023-06-15,,,,,,0.86
2023-06-14,,,0.94,,,
2023-06-07,1.339,,,,,
2023-06-01,,0.187,,,,
2023-05-22,,,,1.19,,
2023-05-08,,,,,0.708,
2023-05-01,,0.18,,,,
2023-04-03,,0.183,,,,
2023-03-23,1.648,,0.94,,,
2023-03-16,,,,,,0.83
2023-03-01,,0.164,,,,
2023-02-17,,,,1.13,,
2023-02-06,,,,,0.655,
2023-02-01,,0.176,,,,
2022-12-23,,0.172,,,,
2022-12-21,,,0.94,,,
2022-12-15,,,,,,0.83
2022-12-13,1.724,,,,,
2022-12-01,,0.165,,,,
2022-11-21,,,,1.13,,
2022-11-07,,,,,0.655,
2022-11-01,,0.163,,,,
2022-10-03,,0.156,,,,
2022-09-26,1.906,,,,,
2022-09-15,,,,,,0.83
2022-09-14,,,0.94,,,
2022-09-01,,0.156,,,,
2022-08-22,,,,1.13,,
2022-08-08,,,,,0.655,
2022-08-01,,0.153,,,,
2022-07-01,,0.149,,,,
2022-06-16,,,,,,0.83
2022-06-14,,,0.9,,,
2022-06-09,1.283,,,,,
2022-06-01,,0.148,,,,
2022-05-23,,,,1.13,,
2022-05-09,,,,,0.655,
2022-05-02,,0.141,,,,
2022-04-01,,0.198,,,,
2022-03-24,1.481,,0.9,,,
2022-03-17,,,,,,0.8
2022-03-01,,0.129,,,,
2022-02-18,,,,1.06,,
2022-02-07,,,,,0.603,
2022-02-01,,0.137,,,,
2021-12-23,,0.271,,,,
2021-12-22,,,0.9,,,
2021-12-16,,,,,,0.8
2021-12-13,1.498,,,,,
2021-12-01,,0.135,,,,
2021-11-22,,,,1.06,,
2021-11-09,,,,,0.603,
2021-11-01,,0.134,,,,
2021-10-01,,0.13,,,,
2021-09-24,1.693,,,,,
2021-09-16,,,,,,0.8
2021-09-14,,,0.9,,,
2021-09-01,,0.135,,,,
2021-08-23,,,,1.06,,
2021-08-09,,,,,0.603,
2021-08-02,,0.136,,,,
2021-07-01,,0.132,,,,
2021-06-17,,,,,,0.8
2021-06-14,,,0.86,,,
2021-06-10,1.225,,,,,
2021-06-01,,0.134,,,,
2021-05-24,,,,1.06,,
